clean_text,label_name,pred_name
bã nc mà cười xĩu,Clean,Offensive
kiều an đợi bài đom_đóm ý bài đấy lyrics vẻ hay,Clean,Offensive
gấu_trắng nó,Clean,Offensive
con bé này nên xuống địa_ngục quá tởm,Hate,Offensive
tý nữa việt_nam mà thắng thì . 😌 😌,Clean,Offensive
đem ra bắn ngay cái thể_loại ấy,Hate,Offensive
hóng bro tét đít thằng tùng,Clean,Offensive
minh hoàng nuôi cá trồng rau rồi ai live xem 😂 😂,Clean,Offensive
sống chậm thôi !,Clean,Offensive
nhìn rất iphone nhưng lại mixi,Clean,Offensive
lạy cô yến 🙏 🏽,Clean,Hate
yeuu thầy dấu bé ba,Clean,Offensive
hay lắm á . xem thử đi ạ .,Clean,Offensive
đây thầy ba hay baroibeo ?,Clean,Offensive
hồ thị trúc phương hôg sao . . khoảnh_khắc huyền_thoại khác sẽ ra_đời 🤣 🤣,Clean,Hate
nghe lại nhớ hồi ấy sao mình yêu nhau thế mà_lại chia_tay anh nhỉ : ) ),Clean,Offensive
hải_yến bố cái con thái lọ,Hate,Clean
1 thằng con_trai không nên dùng facebook,Clean,Offensive
thế mặc 1 quần rồi xoè ra thoii . dở_thế trời,Clean,Offensive
con bóng ? ?,Clean,Hate
"mình đừng nói xạo nói_láo nv chị không thích z , vì chị chúa nói xạo rồi",Hate,Offensive
trai hay gái ?,Clean,Offensive
bàn_tay em đẹp quá . nhìn chị đàn_bà mà xấu quá . .,Hate,Offensive
"nó học cách thằng anh nó đó , hèn , khốn_nạn",Hate,Clean
cái mặt con bò biểu_cảm_vãi haha . đhs tự_nhiên thèm thịt bò khô,Offensive,Hate
lại thêm một con khoác_lác,Clean,Hate
vô cùng luôn,Offensive,Hate
đang bận chăm con nhá,Clean,Hate
"chắc mọi người viết nhật thua thế_chiến 2 , ngàu xưa ta vẫn gọi nhật lùn theo đúng nghĩa_đen . nói hơi thô_thiển thì đúng gọi họ lấy giống tây để giúp nguồn gen dân họ tốt hơn , nên chắc chắc không chỉ vì chất_lượng cuộc_sống cao mà còn phải do chất_lượng gen nữa mới đẩy tầm_vóc lên dc",Clean,Hate
hôm_qua em ngủ mơ thầy lập kênh mới 🙂,Clean,Hate
cô nói_chuyện cưng quá à,Clean,Offensive
em thì thích nhất môn này thầy mong thầy ra khoá mới để em học_tập thêm ạ,Clean,Offensive
khi bạn muốn tích đức đời nhưng nghiệp quá nặng tại chúng rủa quá nên nghiệp : vậy,Clean,Offensive
đi đến trường an_toàn nhất nghe mn,Clean,Hate
giờ nhìn sang quá .,Clean,Offensive
để xem r sẽ ra cái mặt gì,Clean,Hate
giờ linda chững_chạc hơn hồi trước rồi . 😍,Clean,Offensive
hồi bé chỉ suy_nghĩ sao mau lớn để con bé bán cfe đầu đường gọi bằng anh thôi . . giờ lớn rồi thì suy_nghĩ cuộc_sống không chỉ đơn_giản như vậy thôi,Clean,Offensive
@ leetrung lê thank ban nha !,Clean,Hate
iu thầy dấu bé ba : ),Clean,Offensive
nhức óc thật,Clean,Offensive
tự_nhiên tôi thấy một hiện_tượng lạ,Clean,Offensive
tao cạn_lời với trường_hợp này : ) ),Clean,Hate
không csgt nào tốt cả .,Hate,Clean
như lol anh ba,Hate,Clean
một u nhọt quá lớn thì cần phải cắt bỏ nó đi chứ không nên điều_trị bằng thuốc tiếp tiền mất tật vẫn mang ! !,Clean,Offensive
anh thi rồi đi uống cfe mình ên bao quán luôn : ) ) chứ làm gì ai dám lại gần .,Clean,Hate
nữ_sinh chạm tay vào má c . a thì đi tù . rất vn .,Clean,Offensive
tính giải_trí cao nhờ,Clean,Offensive
"lily huynh ở hải châu nè chị , c lên lại đn chưa ?",Clean,Offensive
nguyễn hoàng sâm nôn link ra,Clean,Hate
việt nam_vô_địch . ( tối_ngày 10 / 12 / 2019 ) cầu bến_thủy - vinh na,Clean,Offensive
mong thầy đừng làm tạ tấn trung .,Clean,Offensive
nguyễn hoàng bảo trang,Clean,Hate
lê hữu duy c ơi . nó lại còn ra nét nữa chứ,Clean,Offensive
"dàn producer quá đỉnh rùi , hoaprox không còn gì bàn hơn hẳn em producer vác đàn nhấp : ) ) , cá_nhân thấy nhạc hay vui mà giọng em jack hát bài này hơi đuối không hiểu sao . chúc e thành_công hơn nữa nhé .",Clean,Offensive
"con bóng đực kia cũng dạng đầu trâu mặt ngựa , 2 mặt , nịnh_bợ .",Hate,Clean
l love you cj minh hieu,Clean,Offensive
các bạn phản_đối cái giè . viện_phí tăng gấp 3 ngân_sách bội_thu . làm tốt thế_mà còn kêu .,Clean,Hate
a ơi,Clean,Hate
thy thy đây này,Clean,Offensive
trần sang ổ con cặc,Hate,Clean
chắc ra đà_nẵng sống quad,Clean,Offensive
đọc xuyên câu không suy_nghĩ thử xem . . rất ngộ_nghĩnh 😳 💕,Clean,Hate
tết vẫn ngon mặc_dù không thịt hợn,Clean,Offensive
đậu rồi má hay đậu má rồi các bạn nhỏ ? : ),Offensive,Hate
"đéo hiểu ai bố ai con cái gia_đình này , mệt vl đến từ sói gaming",Offensive,Hate
việt nam ơi cố lên,Clean,Offensive
"ai cũng biết tiền thuế đang được "" quản_lý tốt "" nhưng hầu_hết mọi người lại quan_tâm cái quá_khứ tuổi dậy_thì con nhỏ hoa_hậu hơn = ) )",Clean,Hate
họ nhìn con này sao họ mới gọi nói như vậy người không giá_trị,Clean,Offensive
t_thiết_nghĩ chỉ đồng_loại không ăn nhau thôi chứ gì ăn được cứ ăn . . còn ba_má nào lên_án thì cứ cầm bảng_biểu_tình đứng trước qán thịt chó la_ó xem sao ( :,Clean,Offensive
khá chậm,Clean,Offensive
khốn_nạn,Offensive,Clean
hời đất cơi cô đẹp quá cô ơi,Clean,Offensive
không nghìn nào giúp dân thì nín đi !,Hate,Offensive
trời má khúc này lúc xem phim tao khóc quá trời mà thấy ảnh này cái hết muốn xem cmnl,Clean,Offensive
không xin nó thì đái ra mà hết hạn_hán nhé,Hate,Clean
đối_với một_số người chọn cách giữ im_lặng tốt hơn vì nói ra rồi sẽ không thể trò_chuyện vui_vẻ như lúc đầu nữa : ) ),Clean,Offensive
cô ba dẹp gái qua ha 🤩 🥰,Clean,Offensive
muốn đẻ đứa như tùng sói vậy á 😆 ❤ ❤,Clean,Hate
đào mạnh an ở trên bài viết ghi bệnh_viện london yêu_cầu điều_trị tại nhà không xét_nghiệm bạn ơi,Clean,Offensive
đêm đói ngồi xem anh độ ăn mà cồn_cào hết bụng : (,Clean,Offensive
mai mùng 2 9 sếp ơi,Clean,Offensive
nguc em hoi nho,Offensive,Clean
? nghe nói ở đây bán hàu,Clean,Offensive
thầy shopping giùm em 1 anh trai mỹ đen với .,Clean,Offensive
nguyễn thị linh_chi văn thắng về đi 2 bạn : ) ),Clean,Offensive
tao mày ngu,Hate,Offensive
phạm duẩn đó bí thuật con zai ạ,Clean,Hate
"anh tiệp chất quá khác hẳn lúc viện , hơi xập xệ : )",Clean,Offensive
200.0 hộp thuốc giết người .,Offensive,Clean
ai đó trả_lời vs tao đây e gái thầy ak ?,Clean,Offensive
"ối dồi , đẹp",Clean,Hate
cậu đồng giờ ông tiền ông được đi ra các nước phát_triển hơn thì ông ntn ? ?,Clean,Offensive
"báo bọn phản_động đấy bà_con , những người kia bị kích_động muốn chung ta cũng kíchđộng giống họ đây mà . đập phá nhà_máy họ cuối_cùng mất tiền nước mình thôi vì nc mình vi_phạm hợp_đồng mà . còn biểu_tình gọi nhà nc phải trách_nhiệm tìm_hiểu nguyên_nhân thì được .",Clean,Hate
phan thị mỹ dung bác em xin link bộ_tộc ạ,Clean,Hate
kinh đấy,Clean,Offensive
"phải thế mới me được mấy thằng lồn vi phạm_luật giao_thông chứ , bắt hết con_mẹ tụi nó đi mấy anh ơi .",Hate,Offensive
chị đẹp quá chị ơi . nhìn giống quý ba cáo sáng wa,Clean,Hate
cái mặt nhìn dell ưa nổi với bị nứng lâu năm,Hate,Offensive
thằng thông_thạo 29 thứ tiếng làm_chủ_tịch pắc pó,Hate,Clean
tuyết ngọc hay doi day,Clean,Offensive
chưa xem tập nào dơ tay,Clean,Offensive
mày à tao không còn ngon ngữ nào mà chửi mày nữa,Clean,Hate
e ít lúa đi chị,Clean,Offensive
ủa thấy nói đúng phết chứ = ) ),Clean,Hate
tôi thấy làm cái này vì bộ_mặt_đất_nước !,Clean,Hate
hiếp tao,Offensive,Clean
hm nh facebook not fb,Clean,Offensive
"may quá tưởng bác toang rồi cơ , giữ sức_khỏe mà tấu hài chúng cháu nghe bác nhé 😀",Clean,Offensive
các qua_lại bế lên nhà_đá ngồi thì mới sáng_mắt chưa trúc nhân luôn,Clean,Offensive
nhớ abe lắm rồi nha,Clean,Hate
"em sẽ hay học hơn nếu lớp những bạn nam khoẻ , dai_sức , . : 3",Clean,Offensive
a độ dạo này đăng miết thế 😅,Clean,Offensive
cực_kì thuyết_phục 🤣 🤣,Clean,Hate
không live hả anh : ( (,Clean,Hate
nguyên bộ đang nằm đt tui này,Clean,Hate
mốt đánh lee đừng lên q nha anh ba 🙂,Clean,Hate
sạo loxz quền chị 3,Hate,Clean
diện trần con r mà còn ngu mà rảnh lòn ghê,Hate,Offensive
e_sợ tao gian lm giàu rồi mà tuổi_tác già_yếu mẹ rồi,Clean,Offensive
luật_pháp đang căng nếu gia_đình cháu bé không bãi_nại thì ông này chạy đằng_trời .,Clean,Offensive
em gai xinh dep de thuong qua nha,Clean,Hate
"tập này tập tui cười nhiều nhất các tập coi , cô vui_tính hài_hước dễ_thương , cũng mong cô sau_này xây xong khách_sạn làm_ăn thuận_lợi chứ như cô nói chửi ngta quài cũng kì , nhưng đừng ai chửi cô thì sẽ bình_yên đôi bên",Clean,Offensive
bích ngân cathy lam hoa duong này mới đúng,Clean,Hate
chúc_mừng a3 = ) ),Clean,Hate
@ lucky lucky sao bạn bình thường bạn nghe mik ns coi,Clean,Offensive
du ma tu thg giu xe den thg suc vat chuyen hanh ly,Hate,Offensive
chụp cái góc từ chân lên phải hơn không 😞,Clean,Offensive
khổ nông_dân quá .,Clean,Hate
lương văn thắng gần 1tr lượt like lượng dislike thì 3 chấm 🤷 đủ hiểu trình_độ nhai nhạc cậu đến đâu rồi 😌,Clean,Offensive
"ở minh bi được vao vien khám , con ở bọn nc thấy bao_la phat triẻn thi ve_nha tự cách_ly",Clean,Hate
thích quảng_cáo không : ),Clean,Offensive
tin vớ tin vẩn . sn 98 nhé âm_tính rồi,Clean,Offensive
"mình thấy anh độ nhắc tên mình , mình liền cmt nun",Clean,Hate
đéo phải đá vs mc chả cười ?,Offensive,Hate
nguyễn minh anh cũng đẹp ạ @ @,Clean,Offensive
bao_giờ chết,Offensive,Clean
thật_ra quên kéo khóa quần ngoài lộ quần nên để lộ hẳn thành phong_cách mới nó đỡ quê,Offensive,Hate
cái góc_cạnh này ai hao_hao giống a3 đúng không ?,Clean,Hate
con di_do noi doc giong con 3 vang ma !,Hate,Offensive
nguyen phuong hoàng linh tuấn anh lê tuan anh trần hạnh 30 lại đoàn_tụ : ),Clean,Offensive
đẹp zai đúng chất anh tôi,Clean,Hate
1.6 . năm rồi,Clean,Offensive
nơi nào mà cũng được như thế thì có_lý_do gì mà con đân việt nam phải sang nước_ngoài sống .,Clean,Offensive
hỏng khóa hay gì : vv,Clean,Offensive
dơ vô cùng luôn,Offensive,Hate
thu ha nguyen_láo,Clean,Offensive
hâhhahaha được fan cưng r nhá = ),Clean,Offensive
qua học_trình_độ chặt cây mà không bị dân chửi trung quốc .,Clean,Offensive
tôi nghĩ giờ trung_thu hầu_như các đội đều muốn hoá_thân thành diễn_viên nhật bản đóng phim với nhau 15 - 20p để năm sau hay lần sau còn kỉ_niệm,Clean,Offensive
"không phải ai cũng muốn làm người_lớn , chỉ họ không_thể mãi trẻ_con thôi , ai rồi cũng sẽ lớn lên trưởng_thành",Clean,Offensive
"mn tải ứng_dụng kiếm thẻ đt nạp nè . ngày ít cũng được 2 cái card 20k đấy . link tải chplay nên không sợ virus , tôi chăm online nên ngày nào cũng được cái card 50k ít . cài xong vào mn nhập mã chia_sẻ nhận điểm",Clean,Hate
đúng chửi,Clean,Hate
người dân biểu_tình phản_đối thằng ăn_cướp bị bọn mày bắt_bớ đánh_đập thì tụi mày cái gì,Clean,Offensive
chị ơi yêu chị . .,Clean,Hate
nguyễn nghĩa hạ hoà ca nghi r nè,Clean,Offensive
ai lớp du chu cờ mo . . sợ bã nói tới câu sau bíp . . bíp . . bíp,Clean,Offensive
địt nhau,Offensive,Clean
share bài này lũ ban cắn chết nên thôi : ),Clean,Hate
tao thấy nhiễm covid này toàn bọn nhiều tiền thích đi du_lịch đấy . .,Hate,Offensive
kênh mới abe nè ae nhớ sub thầy,Clean,Offensive
dan ha loi ngon roi .,Clean,Offensive
"cs miệng đít chúng một chỗ . một chế_độ thổ_tả không còn sửa_sai được nữa , mà phải thay_đổi với một chế_độ khác . sống với cs mà không biết gì về thủ_đoạn bọn chúng không cái đầu .",Hate,Offensive
làm đồ vỡ tí cũng up fb sen làm lố quá nha_h,Clean,Hate
thay_vì nổ lực thì chị chọn con đường lấy chồng giàu 🤣,Clean,Hate
nguyễn thanh trang bảo bọn bạn mày đó chỉ hoa thôi đi = ) ),Clean,Hate
phạm thị duyên tạo thử hâhha,Clean,Offensive
minh hiếu nói chốt đơn chốt đơn do cj minh hiếu nói phong long mà chứ đâu nói cj trần đoàn đâu ? ?,Clean,Hate
"hết phù_sa vựa_lúa sụp_đổ , hết cả xuất_khẩu gạo ; chết đói cả lũ . 3 năm trước kêu mua vàng trên 300tr phải xuất_trình cmnd , giờ biết cả việc dân đang "" giấu "" 500t vàng .",Clean,Hate
nhung ơi la nhung,Clean,Hate
chậm thôi mấy anh ơi . em mới bấm cái tym đầu_tiên chưa kịp chụp nx 😞,Clean,Offensive
đức vương việc nhẹ lương cao lại thỏa_lòng mong_ước,Clean,Hate
quả quần chất quá đi !,Clean,Offensive
hí hí,Clean,Hate
bản này lâu rồi,Clean,Offensive
éc nghe nói ai tiếp_xúc với 2 người tây đều cách_ly mak . sao giờ lộ ra nv siêu_thị điện_máy xanh vậy trời . lơ_là rồi 🙈,Clean,Offensive
thua 🙂,Clean,Offensive
thinh mày à ?,Clean,Hate
cày view đi ~ 😚,Clean,Offensive
duy phạm vô nhận lại đồ kìa . bữa mày nói tao,Clean,Hate
"lí_do lí trấu , chắc tin 😏 : )",Offensive,Hate
áo dân_chơi cao bằng,Clean,Offensive
co tien dug nen khoe nha_ma co ngay troi không do dau co ngay_di_an majk nha_má,Clean,Hate
bốc sư tất_nhiên xạo quá ròi tất_nhiên súng bắn không tói ông nhưng tất_nhiên corona tất_nhiên sẽ tới thăm_viếng bốc sư tất_nhiên,Hate,Offensive
ai theo đạo râu xồm thì giơ tay ? hãy theo minh giáo_chủ sẽ được lên thiên_đường xhcn !,Hate,Offensive
hủy cái dmm : vậy,Offensive,Clean
chi de thương,Clean,Hate
sống chậm thoii : ( (,Clean,Offensive
trần ngọc trâm nó mà hay thì nghe 1 câu nghiện rồi . chứ nghe kiểu như bạn thì mệt lằm . 😅,Clean,Offensive
lắm tiền mà chả nổi ý_thức loài_người : ) ),Offensive,Clean
"ông_già vừa_mới ăn cá xong , mẹ trang chả chịu hôn phải",Clean,Offensive
"mọi người quá lịch_sự với tên khốn này rồi , cha đứa bé bị đánh nên ra_tay nó thành tật đi đừng hi_vọng nhiều ở luật_pháp .",Hate,Offensive
vẫn không chừa được những lời_nói thô_tục,Clean,Offensive
cái áo sọc mặc hoài vậy thầy,Clean,Offensive
huy quang ghê nhờ 🙂,Clean,Offensive
em nghe tiền thì thik xem à . cơ_mà chi nói_chuyện vui qua . đi làm về mệt nghe chị nói vui,Clean,Offensive
"hay câu "" không thực_phẩm bẩn chỉ thực_phẩm được làm sạch """,Clean,Offensive
anh tui,Clean,Hate
nguyễn hoa xem ròi . htrc vợ_chồng e vừa xem xong : ) hay mà,Clean,Offensive
chui hay lam co oi,Clean,Offensive
chuẩn_bị xoá kênh nhe thầy .,Clean,Hate
không đáng bao_nhiêu mà nhục sinh_viên việt_nam bị nó khinh !,Clean,Hate
dân lo mà sợ gì chơi tới đi mấy bác,Clean,Offensive
thu thảoo hơi bị truất : ) ),Clean,Offensive
vụ nào nghiêm_trọng nhờ tụi này tốn ít_nhất chầu nhậu éo dưới 30tr,Clean,Offensive
co . hieu . oi . hoang . canh . con . kho . khan . qua . co . oi . giup . con . voi . co . oi . con . noi . thuc . su . la . nha . con . khong . co . gao . an . luon . do . co . oi . con . noi . thiet . la . nha . con . khong . biet . chung . nao . xap . nua . do . co . co . long . hao . tam . co . giup . con . voi . co . oi . co . hieu . oi . sdt . cua . con . ne . co . oi . 0369546059 . do . co . con . o . ap3xatanhoitrunghuyencaolanhtinhdongthap . do . co . con . noi . thiet . do . co . oi . giup . gium . con . voi . con . kho . wa . co . oi,Clean,Hate
"úi xời , thêm quả hiệu_ứng nữa thì rụng hết trứng với nhau .",Clean,Offensive
đr chỗ thì gọi li quăng chỗ thì gọi cái giường chỗ thì gọi dạc mà chuyện đó bình_thường mà,Clean,Offensive
bắn chet moe abe h,Hate,Clean
chỉ muốn tặng huy_hiệu fan cứng : >,Clean,Offensive
thúy hiền trend kìa bạn 🤣 🤣,Clean,Offensive
vailon : ) ),Offensive,Clean
ô_kê các pạn : ),Clean,Hate
thu hít không phải kênh jack rồi,Clean,Hate
"coi mà cười từ đầu tới cuối luôn á . cô hiền_lành thân_thiện , vui_vẻ chân_chất",Clean,Offensive
"tao nghĩ phải lên web coi trc , chứ ra đó biển sale . . méo biết lựa gì",Clean,Hate
hóng hóng 😌 😌,Clean,Hate
đéo thích thì thôi cút mẹ đi = ) ),Offensive,Hate
con xinh tên fbút cô với,Clean,Offensive
gửi thầy ý_tưởng logo nếu thầy định lập kênh youtube nhé thầy dấu bé ba,Clean,Offensive
huy_hoàng thì ?,Clean,Offensive
thiên_đường xhcn cái gì mà sao từ trước đến h mình chưa đọc ở trang sách nào nhỉ,Clean,Offensive
thối con cặc chỉ không ngửi đuợc thôi,Offensive,Hate
mình cần đại_lý phân_phối không shop ?,Clean,Hate
nếu em nổi_tiếng giống thầy em làm rồi,Clean,Offensive
"nhà tiên_tri vĩ_đại chúng_ta đổi giọng rồi . hình_như người vn khi biết mình sống không lâu nữa đều muốn được về với đất mẹ . hãy làm điều gì đó tốt đất_nước nhé , đừng để thiên_hạ chế cười",Clean,Hate
sống chậm lại đi cb ạ : ) ),Clean,Hate
kg phan dong may ' chui vao nay lam gi ?,Offensive,Clean
anh yêu em thắm ơi,Clean,Offensive
cái đờ cờ mờ nhà a,Hate,Clean
bê đê hả,Clean,Hate
dem me minh ra lam tro cuoi noi tuc tieu khg hay dau,Clean,Hate
ca_sĩ cây atm,Clean,Offensive
biết gì đâu con tinh_trùng khuyết_tật,Hate,Clean
thô nhưng thật = ),Clean,Hate
mùa đại_dịch mà xem clip này tinh_thần phấn_chấn liền,Clean,Offensive
1 con chó dlv hay : ) ),Hate,Clean
ma mày đau ma mày đau bóp cu ba may sung con cười muốn chết luôn co kim oi,Hate,Offensive
ba nay mat dai qua lon roi an noi tuc tiu hay_ho gi,Hate,Offensive
đức tân oce b ạ . bọn mình chỉ muốn bạn 1 cách nhìn_nhận 1 cách tốt_đẹp về anh thoi ạ . bọn mình fan nên bọn mình sẽ phát cáu khi ai làm gì idol mình ấy . mong b thông_cảm_nè . tks b đọc cmt mình,Clean,Offensive
cái miệng rộng qua đẻ con ra còn lọt,Offensive,Hate
"clip cũ roi lúc no ban hàng , chui khách_hàng , quen miệng , lu nay lu kia , gio kho mà ai bo qua duoc",Clean,Offensive
"chị_em nào “ đến tháng ” mà đau bụng dữ_dội , đau trời long đất lở , đau héo_mòn thân_xác . ib em để hết đau mãi_mãi luôn nhé . 💕 💕",Clean,Offensive
cô ba râu ha_ha,Hate,Offensive
chào các dân_chơi,Clean,Offensive
"ông lân bolsa này toàn kháy đểu anh dần idol tôi thôi , đểu thật , tôi bắt_đầu ghét ông lân rồi đấy : )",Clean,Hate
chị nhưng thật đáng sợ,Clean,Hate
túm lại : muốn giết người mà vẫn vô_tội hoặc án gãi ghẻ thì phấn_đấu làm cán_bộ đi .,Hate,Clean
đeo hình phât trên ng ma_khẩu nghiêp quá thât đáng thuog nhug ng nhu vây,Clean,Offensive
anh tôi như khỉ_đột vậy : ) ),Clean,Offensive
để được ngồi đợi sự trợ_giúp từ phan anh thì cũng nhờ sự trợ_giúp bn cbcs đang vật_lộn với nước lũ đưa ng dân vào đât liền đó bạn . stt chị này lên_án những người chỉ nhìn thấy sự hào_nhoáng mà báo_chí tung_hô pa không thấy được sự khổ_cực cbcs . chứ không phải lên_án pa nha bạn,Clean,Hate
nguyễn trọng hiệp rồi sau_này mà gật đầu thì xe đâu ra nữa bác : <,Clean,Offensive
thu_ngân đôuu : vậy,Clean,Offensive
du me,Offensive,Hate
r . i . p anh thị bò dát vàng,Clean,Hate
nghe cực_kì thuyết_phục : ) ),Clean,Hate
lam nguyen hàng real mình loại mini chỉ tầm dưới 500 thôi á a / c . theo em thì em nghĩ nên mua hàng real mini sử_dụng thì xứng_đáng hơn so với mua real á ^ ^,Clean,Hate
chuẩn cmnl anh ơi,Clean,Offensive
phát thịnh thầy tui như thằng xì_ke .,Hate,Clean
khiếpp bình_tĩnh thoii các bạn : <,Clean,Offensive
gai tre,Clean,Offensive
bác sỹ giám_đốc mặt heo ?,Hate,Offensive
@ tùng thanh bạn nói tiếng anh tiếng pháp gì tui hông đọc được 😀,Clean,Hate
chi oi chi chua gap bac ky dau . chi ma gap roi chi khong con kip keu mot tieng troi dau chi ak . it nhat chi cung nghi den nguoi nha chi chu . chi o dai loan ma chi dang noi tieng viet ma . chi tu chui minh thoi . nguoi ta khong xem chi ra ji nen nguoi ta goi noi vay thay loi xi nhuc do .,Hate,Clean
ẩu r thầy ơi,Clean,Offensive
may bede ma rau thay on,Clean,Hate
mis nhung,Clean,Hate
cu tùng hết sữa nên phải quảng_cáo : ) ),Clean,Offensive
kiểu như bác nói ẩn_ý việt nam không sợ bố con thằng nào chứ dăm_ba con virut này thì tuổi với vn à : vậy,Clean,Offensive
đạt phạm dcu mày đùa dai như tk bố m_thế,Hate,Offensive
bay thực_sự anh ạ,Clean,Offensive
"dân không giàu nhé , chỉ nó nước mạnh thôi .",Clean,Hate
"nguyễn dũng - tận nhân_lực , tri thiên_mệnh",Clean,Offensive
giáo_án bay kênh hả thầy,Clean,Hate
ok thầy nhoa ❤,Clean,Offensive
"công_nghệ làm trụ_cột điện nhé các bạn . đẹp , rẻ nhưng đéo bền để thuận_lợi việc kiếm_chác . đang rất khả_thi dc tiến_hành thí_điểm ở 1 số vùng . nếu có_ăn sẽ nhân rộng ra trên mọi địa_bàn cả nước = ) )",Clean,Hate
chửi hay ghê_k,Clean,Offensive
đẹp quá thầy ơi,Clean,Offensive
"nhiều thằng không thích hướng về phía trước , nó thích tất_cả các hướng cơ : )",Clean,Hate
tin tin nên về làm taxi nhe đồng_chí .,Clean,Hate
đáng trân_trọng 1 người họ đánh_cược tuổi thanh_xuân mình người đàn_ông đang bắt_đầu sự_nghiệp,Clean,Offensive
giờ đẻ thằng con cute như em tùng thì ngon hihi : ),Clean,Offensive
aba cứu tú thỏ ngọc với .,Clean,Offensive
ngó được r bạn lộc : ) ),Clean,Offensive
