clean_text,label_name_true,label_name_pred
gan trời = ),Clean,Hate
dlv đây chỉ trường hơp ngoại_lệ không tính : vậy,Clean,Hate
ảo_thuật,Clean,Offensive
ăn miếng coi,Clean,Hate
"sao mày ngu thế mày giỏi mày đi kêu_gọi mn xem người_ta góp mày không . mày thấy làm mệt quá à . người_ta tiền thì góp tiền , sức góp sức . còn mày cảm_thấy bất_công quá thì nghỉ con_mẹ mày đi làm từ_thiện đi . làm từ_thiện mà_lại so_sánh thiệt_hơn so so cái con cặc . mày tưởng mày bê được mấy cái thùng mì tôm mày to à",Offensive,Clean
"lê lê đọc tus không gì , đọc cmt cười ĩa : ) vậy không được đâu nha",Hate,Offensive
đến lúc nó chet lại sợ dai ra quần : ( (,Offensive,Clean
@ anh japan ☺ ️ liên_quan đến cậu sao,Offensive,Clean
mẹ tui cũng thích cô lắm á,Clean,Offensive
"bài này hoaprox mix giở , không điểm nhấn , nghe như nhạc mấy bà hát đám_cưới vậy . còn về jack hát 9,5 điểm r",Hate,Clean
ma ba vang ngoc 0907127749 mobi,Hate,Offensive
được vl anh độ ạ 😂,Hate,Clean
vì linh kháng_án lên tòa đại thẩm đến khi toà xử lại về luôn ở xứ em thiên_đường vậy đó mấy anh,Clean,Hate
a . di . da . phat . .,Offensive,Clean
tự_dưng anh mình tươi_cười áo hức thế . ủng_hộ a đi đóng qc tiếp a ơi . biểu_cảm nhiều hơn r,Hate,Clean
bà mẹ nó chửa lây người hà_nội luôn hok nói được lời gì cả con nầy hok biết nó còn hơn võ tắt_thiên nữa khẩu nghiệp nghe con đài loan linh lóc nghe nỡ mẹ kêu biệt_danh bắn nầy bắn ngọ_đồ khẩu nghiệp vậy_mà quản_cáo đi chùa xim trời phật con nầy chỉ pủi chứng nó thôi các bạn ơi hãy tẩy chai nó khỏi bán hàng onlai luôn đi cộng_đồng ơi,Clean,Offensive
thế nhìh xem dân đen chúng_ta bụng to hok,Clean,Offensive
xem bực_mình thêm,Clean,Offensive
ok a 😂 😂,Offensive,Hate
lại sống như rau_dền : ),Clean,Hate
. hí a zai,Clean,Hate
em nói thật e chưa bg cmt các page vậy_mà hà_cớ chi vô đây e lại thích ad mới chết . chắc ad ở ngoài hài_hước lắm ha . đọc sst mà cười_rụng_rốn haha,Clean,Offensive
bạn ba còn gạ bạn thơ vô to lét nữa : ),Clean,Offensive
chị dàu quá em con 10 triệu,Clean,Hate
tân_sơn nhất tấn hải . quan_ngại sâu_sắc,Hate,Clean
anh tôi anh tôi,Clean,Offensive
: (,Clean,Offensive
lê hiếu đọc cả bình_luận nữa,Hate,Clean
"dkm phat , noi nhu c",Clean,Hate
nguyễn thùy_linh : ),Clean,Hate
tấn thời bài này lần đầu nghe chả lọt taii gì cả . . nghe 2 - 3 lần thì cũng được nhưng không hay bằng mấy bài tr,Clean,Hate
bô sau khi hút thuốc_lào,Hate,Clean
"em ké tí ạ ! chuyên_mục thầm_kín chị_em phụ khang họ nguyễn 700k / 2 hộp trọn bộ đặt + uống + xông rửa . chuyên điều_trị viêm_nhiễm phụ_khoa , nấm ngứa . làm hồng se khít cô bé . liệu_trình dùng thử free ship toàn_quốc . inbox , call 📲 09848291",Offensive,Hate
trần trọng nghĩa thomas lee võ cao nhân justin bảo nguyễn nguyễn_phan tuệ thông cùng hy_vọng nào mn ơi : vậy,Clean,Hate
gắt quá ai_lại,Offensive,Hate
cường ông can à ? ! = ) ),Clean,Hate
dạo này nhìn ốm_yếu quá đi danh_hài ơi,Clean,Offensive
nam triệu nè thít hơm,Clean,Offensive
anh_em từ đây tui sẽ tạm_biệt tam kê gáy = ) ),Hate,Clean
"biết chửi không cô nương , ?",Hate,Clean
"duyên_dáng quá đi à nếu biết cô minh hiếu chắc_chắn sẽ biết tới tần đức bo meo meo , mọi người qua kênh ucra mình xem điều bất_ngờ nào . akajakkakak",Clean,Hate
"đậu mạ ! vịt nôm cái méo gì cũng có_thể xảy ra . trốn truy_nã tại địa_phương 26 năm , làm chánh văn_phòng tại địa_phương . tất_cả nhờ sự lãnh_đạo tài_tình đảng nhà_nước . dân ta cứ yên_tâm mà chết dần chết mòn đi",Clean,Hate
sao mọi người không đặt mình vào hoàn_cảnh này thì mình sẽ làm gì ? khi không tiền_bạc quyền_lực thì bạn làm được gì ? không an_ủi giúp_đỡ thì cũng bớt đi bình_luận nhé !,Clean,Hate
"dlv sẽ nói gì à ? ? : "" phản_đôôộoong ! - chỉ thế thôi nhé : vậy",Clean,Offensive
"cát linh hà đông hỏng phải thời tui đấu_thầu , thiết_kế nhé , đống sắt phế_thải , hàng quá đát đó thời trước nha , tui đang mê vụ 16 tỷ đô long thành airport thôi .",Clean,Offensive
chửi quá hay thích nhất cô minh hiếu cầm cái búa đập rất dễ_thương yêu_cầu làm tiếp phần sau,Hate,Clean
xứ tư_bản ba_que,Offensive,Clean
1 cặp : ) ),Clean,Hate
co minh hieu de thuong qua ik mai ham mo co,Clean,Offensive
chú ấy cũng bứt_rứt lương_tâm lắm rồi . .,Clean,Hate
"bò đỏ đâu ròi , tôi thấy cánh_tay các bạn nào : ) )",Clean,Hate
ý mua về kéo không lên nhưng tiếc,Clean,Hate
học_trò lol,Clean,Hate
chu ngọc khánh vân nhanh lém : vậy,Clean,Offensive
đây mới khiến nhiều người phải gục ngã nè 😍,Clean,Hate
chúc abe 20 - 10 vui_vẻ,Clean,Hate
du_học_sinh úc = ),Clean,Offensive
mãi yêu thầy ' dấu bé 3 ',Offensive,Clean
khá cayy 😂,Clean,Hate
đừng chê tiểu tiểu_😄,Clean,Hate
"trắng biến thành đen , biến thành không , không biến thành họ còn làm được chứ trắng biến thành xanh chuyện nhỏ",Offensive,Clean
from bến tre with love,Clean,Offensive
co nhiêm khong,Hate,Clean
nghe như đấm vào tai,Clean,Hate
phục_vụ quân dội bỏ stream,Hate,Offensive
"vậy_mà vẫn thua thi thi ak ,",Clean,Hate
dễ_thương xĩu i lớp diu chu cà_mo,Hate,Clean
thầy em phải hơn . nhưng ngu hơn ă 🤧,Clean,Hate
: ) ) abe lam susan 0175 de dau ik,Clean,Hate
chí quá thầy ơi,Clean,Offensive
chông chi trẻ va xinh qua,Clean,Offensive
trầm_cảm mất rồi quá mệt_mỏi tao / c gia_đình,Offensive,Hate
"chính_sách việt cộng ngu dân để trị , tài_giỏi thông_minh thì bị việt cộng bỏ_tù đúng rồi .",Offensive,Clean
một bài rất ý_nghĩa,Offensive,Hate
đợi nó chồng sinh con như âu cơ luôn đi ròi tối nhắn_tin tiếp : ),Clean,Offensive
"vietnam gioi thieu bo phim * benh nhan nguoi anh * bien dao dien , corona , dien vien uk , truong quay . vietnam .",Offensive,Clean
"lê trọng nghĩa phục làm gì bạn ? phục xong về hít bụi mịn , ăn đồ trộn hoá_chất , hộ_chiếu chỉ đi được châu phi với đông nam á như bạn hả ?",Clean,Hate
trông giống trú giể quá 😞,Hate,Clean
"nói bé thôi , đông lắm cơ : vậy",Clean,Hate
đừng đùa không khéo đem vào giảm dạy như mac lenin thì khối thằng ốm_đòn sách này 500k ít,Clean,Hate
"chửi vô_tội_vạ mà đéo biết báo từ đời_nào rồi , chỉ phạt các doanh_nghiệp mua điện nhưng lại không sử_dụng để tránh lãng_phí thôi chứ dân dùng bằng nào thu bằng đấy , toàn những con bò",Clean,Offensive
"chở vàng qua mỹ . đúng nhé chị ba chở . nhưng . không phải vàng mà bom , mìn , lựu_đạn . để nổ banh cái dòng_họ nhà thằng bê đê .",Hate,Clean
minh sang chưa bh bị như vậy : ) không mệt nổi vs mày mày yếu quá,Clean,Offensive
tức nước vỡ bờ . cả một lũ chó hại dân,Offensive,Hate
yên_tâm chính_phủ vn sẽ trả lại nhà tiên_tri,Clean,Offensive
chỉ mong việt_nam đón hè sớm một_chút : tuy nóng nhưng chết 🦠 virus,Clean,Hate
sau khi xài clear đến từ vị_trí abe,Offensive,Hate
vừa vào gr chưa làm được gì thì được làm fan cứng : ) p ? ?,Clean,Hate
bớt ảo tưỡng đi,Clean,Hate
thế các mày biết chưa,Clean,Hate
ân phan non : ) ),Clean,Offensive
"xử_lý chuyển công_tác lên tỉnh , tp : vậy",Offensive,Hate
nguyễn_vũ,Hate,Offensive
thích nghe thầy cười vl,Clean,Offensive
minh anh đến đoạn grab thì không còn nghi_ngờ gì nữa . kp hai đồng chi kiên kia . may vch .,Clean,Offensive
ổng nói lập kênh mới chứ không nói xóa_kênh cũ,Clean,Hate
avt hình ai z a ?,Clean,Offensive
căn_bản nhà nc không làm dc như thế . các chú bộ_đội hay 1 ban_ngày đi làm_vì lệnh phát ra trên đồn xuống chứ ai bão gió lũ_lụt chịu đi ăn_tiền dân nhận tiền thuế phải vậy kêu_ca gì,Clean,Offensive
thông_báo ad biết nhé hôm này giá xăng sẽ giảm mạnh nhé .,Offensive,Hate
đưa lên kiểu này khi ngày_mai nó người ra đập bỏ luôn hiểu nhé 😭,Offensive,Clean
quỳnh giao chắc bận đi bar nên không bh rep cmt chị_em : ),Clean,Offensive
dương quỳnh 😂,Clean,Hate
"anh mày thiếu nợ giang_hồ hóc_môn , mày cũng thiếu nợ không dám về việt_nam , bày đặc làm banh",Hate,Clean
doanh_nhân thành_đạt,Clean,Hate
chấp_nhận từ_bỏ,Clean,Hate
thắng từ thầy_giáo chuyển nghề thầy phù_thuỷ = ),Offensive,Clean
ngọc lành phạm xuân mai phương thảo phạm tường_vi ngọc bé phước hậu trần quốc duy phải_chi . mình cũng được vậy he cả nhà 😆,Offensive,Clean
ae nhìn kênh ba tú lần cuối,Clean,Hate
em làm fan cứng với em rất thích anh với anh hiếu lợn ạ : ' (,Clean,Offensive
mất thằng không cái nhạc dở_quoãi,Clean,Hate
bọn dầy tớ chấp chi .,Clean,Offensive
anh thích_đấu kiếm không ạ : ) ),Clean,Hate
nghe,Offensive,Hate
dạo này đồ rẻ các chú ạ : ( (,Offensive,Clean
về stream nhanh còn kịp anh ei 😂,Clean,Offensive
siêu tập_đoàn,Clean,Offensive
không lên lại hơi phí : vậy,Clean,Offensive
ủa lạc đâu ra mấy con chó này thế = ) ) tao bảo cno sống chậm thôi chứ tao bảo ông bà_già chúng mày sống chậm à mà vào sủa : ) ) ?,Clean,Offensive
ai lớp du . chu cờ mo = ),Clean,Offensive
hoàng oh men : ) ),Offensive,Clean
dep trai moi co nhieu dua yeu,Hate,Clean
thằng chụp ảnh làm này chắc cbi bị điều_tra : 3,Offensive,Hate
phương linh trend cánh hoa thây haha,Clean,Offensive
cô dễ_thương quá đi 😊 😊,Clean,Hate
tuyển ctv không ad ?,Clean,Offensive
nghe nhạc nhớ luôn,Offensive,Hate
tao cũng đi sớm,Clean,Hate
địt mẹ . rẻ rách dlv,Offensive,Hate
muốn thắng thì phải hs nghỉ,Clean,Hate
nguyễn trọng thái khi mày thích chấp_nhận đợi một ng chắc_chắn mày lzj cũng nghĩ đến ngta . kể_cả việc ib nc với ai hay rep cmt bạn khác giới cũng sợ ngta giận hiểu nhầm . con ngược_lại ng bắt mày đợi thì lại vô_tư nói_chuyện tc với ng khác liệu sự đợi_chờ đó cùng với tổn_thương kéo_dài được bao_lâu . nếu ngta thích mày thì không bjo để mày phải đợi . vì sự chờ_đợi không dành tình_yêu . nó dành sự lựa_chọn rồi,Offensive,Hate
chúc thầy 20 / 11 téc léc nha = ) ),Clean,Hate
moá .,Offensive,Clean
s riven gold : ) ),Clean,Offensive
ly ly hey homie = ) full quá homie êyy,Clean,Offensive
cột đèn,Hate,Clean
hoàng thanh trung,Hate,Clean
ước gì được như anh ấy,Clean,Offensive
dũng sỹ cút lên top dùm,Clean,Hate
cuốc sư khi nào về việt nam truyền bài thần_quyền em nha . a_men em đạo phật mà,Clean,Hate
bệnh_nhân được nhận máu sau khi nghe tin,Clean,Hate
ông_bà ta nói lửa mới khói chuyện gi qua thi đi mọi người ơi !,Hate,Offensive
